,Слова,Важность,Компетенция,Чистые слова
1137,субстрат грунт мульча,6.0,Ландшафтный дизайн (Юниоры),субстрат грунт мульча
1138,специалист должен знать и понимать различные виды и структуру почв и питательные среды; принципы оценки и испытания грунта для определения его характеристик и надлежащего применения; принципы влияния различных видов грунта и питательной среды на насаждения; существующие почвенные добавки и их применение;воздействие на окружающую среду таких природныхматериалов как торф;качество окружающей среды с точки зрения почвы какживого организма;назначение различных почвенных добавокпитательных сред мульч и компостовспециалист должен уметьприменять грунт и или почвоулучшители для посадкив соответствии с указаниями;применять органические и или неорганическиемульчирующие материалы для посадки или в другихцелях;использовать различные виды грунта и добавок всоответствии с назначением;правильно применять различные почвенные добавкипитательные среды мульчи и компосты;правильно готовить почву к посадке всех видоврастений и деревьев;подготовить грунт с покрытием дерном укреплением ивыравниванием согласно указаниям;подготовить грунт для засева газона;проводить анализ грунта на определение егооптимального применения,6.0,Ландшафтный дизайн (Юниоры),специалист различные виды структуру почв питательные среды; принципы оценки испытания грунта определения характеристик надлежащего применения; принципы влияния различных видов грунта питательной среды насаждения; существующие почвенные добавки применение;воздействие окружающую среду таких природныхматериалов торф;качество окружающей среды точки зрения почвы какживого организма;назначение различных почвенных добавокпитательных сред мульч компостовспециалист уметьприменять грунт почвоулучшители посадкив соответствии указаниями;применять органические неорганическиемульчирующие материалы посадки другихцелях;использовать различные виды грунта добавок всоответствии назначением;правильно применять различные почвенные добавкипитательные среды мульчи компосты;правильно готовить почву посадке видоврастений деревьев;подготовить грунт покрытием дерном укреплением ивыравниванием согласно указаниям;подготовить грунт засева газона;проводить анализ грунта определение егооптимального применения
1139,посадка растений и деревьев и уход за ними,26.0,Ландшафтный дизайн (Юниоры),посадка растений деревьев уход
1140,специалист должен знать и пониматьклассификацию и ботанические названия растенийкустарников овощей трав фруктов деревьев а такжеоптимальных способах и времени их применения;особенности роста и развития растений их значении сточки зрения садового дизайна и динамической среды;условия подходящие для различных растенийкустарников и деревьев;различные типы трав и газонных материалов а такжеих применение;уход за различными растениями кустарникамидеревьями;болезни и паразитов растений кустарников деревьев;обработку от паразитов и болезней растений;натуральные средства от паразитов и болезнейсоответствующие принципам экологичности;технику безопасности при погрузке и разгрузке использовании и хранении химических средствприменяемых в ландшафтном дизайне;климатические и экологические факторы приприменении химических средствспециалист должен уметьподготовить растения и деревья для посадки удалитьупаковку и защитные покрытия обеспечить хорошеесостояние растения;подготовить грунт и участок под посадку;выполнить перенос и посадку деревьев и иликустарников;выполнить перенос и посадку многолетних иоднолетних растений и или надпочвенного покрова вподготовленные основания;посадить выбранные растения на правильномрасстоянии друг от друга с учетом роста и внешнеговида сада;обеспечить законченный и естественный вид объектапо завершении конкурса;осуществить посадку декоративныхсельскохозяйственных овощей и трав;осуществлять уход за растениями на долгосрочнойоснове;уложить рулонный газон или плиты с соединениямисогласно указаниям;обработать поверхность путем прокатки ивыравнивания рулонов для полного контакта коревойсистемы и почвы а также устранения неровностей ивпадин согласно указаниям;засеять газон;осуществлять уход за газоном или дерниной надолгосрочной основе,26.0,Ландшафтный дизайн (Юниоры),специалист пониматьклассификацию ботанические названия растенийкустарников овощей трав фруктов деревьев такжеоптимальных способах применения;особенности роста развития растений значении сточки зрения садового дизайна динамической среды;условия подходящие различных растенийкустарников деревьев;различные типы трав газонных материалов такжеих применение;уход различными растениями кустарникамидеревьями;болезни паразитов растений кустарников деревьев;обработку паразитов болезней растений;натуральные средства паразитов болезнейсоответствующие принципам экологичности;технику безопасности погрузке разгрузке использовании хранении химических средствприменяемых ландшафтном дизайне;климатические экологические факторы приприменении химических средствспециалист уметьподготовить растения деревья посадки удалитьупаковку защитные покрытия обеспечить хорошеесостояние растения;подготовить грунт участок посадку;выполнить перенос посадку деревьев иликустарников;выполнить перенос посадку многолетних иоднолетних растений надпочвенного покрова вподготовленные основания;посадить выбранные растения правильномрасстоянии друга учетом роста внешнеговида сада;обеспечить законченный естественный объектапо завершении конкурса;осуществить посадку декоративныхсельскохозяйственных овощей трав;осуществлять уход растениями долгосрочнойоснове;уложить рулонный газон плиты соединениямисогласно указаниям;обработать поверхность путем прокатки ивыравнивания рулонов полного контакта коревойсистемы почвы устранения неровностей ивпадин согласно указаниям;засеять газон;осуществлять уход газоном дерниной надолгосрочной основе
1141,садовые технологии водопровод и канализацияэлектромонтаж дренаж орошениесадовые технологии водопровод и канализацияэлектромонтаж дренаж орошение,6.0,Ландшафтный дизайн (Юниоры),садовые технологии водопровод канализацияэлектромонтаж дренаж орошениесадовые технологии водопровод канализацияэлектромонтаж дренаж орошение
1142,специалист должен знать и пониматьпринципы устройства водопровода и дренажа в саду;принципы и виды оросительных систем;принципы сбора хранения и использования дождевойводы;принципы использования установки и обслуживаниярезервуаров для воды систем для хранения воды и  орошения;принципы выполнения электромонтажных работ всаду;технику безопасности и нормы охраны здоровья прииспользовании установке и обслуживанииэлектрических и водопроводных систем и объектов;нормы и правила по установке и использованиюэлектрических и водопроводных систем и объектовспециалист должен уметьвыполнить установку подключение и испытаниенизковольтной проводки и компонентов системосвещения охлаждения звука и отопления всоответствии с указаниями;установить такие дренажные сооружения какливневые колодцы ливневые отстойники подземныйтрубопровод и или резервуары для хранения всоответствии с указаниями;установить системы сбора и очистки дождевой воды;выполнить установку подключение испытание иустранение неисправностей компонентов подземнойсистемы орошения в соответствии с указаниями,6.0,Ландшафтный дизайн (Юниоры),специалист пониматьпринципы устройства водопровода дренажа саду;принципы виды оросительных систем;принципы сбора хранения использования дождевойводы;принципы использования установки обслуживаниярезервуаров воды систем хранения воды орошения;принципы выполнения электромонтажных работ всаду;технику безопасности нормы охраны здоровья прииспользовании установке обслуживанииэлектрических водопроводных систем объектов;нормы правила установке использованиюэлектрических водопроводных систем объектовспециалист уметьвыполнить установку подключение испытаниенизковольтной проводки компонентов системосвещения охлаждения звука отопления всоответствии указаниями;установить дренажные сооружения какливневые колодцы ливневые отстойники подземныйтрубопровод резервуары хранения всоответствии указаниями;установить системы сбора очистки дождевой воды;выполнить установку подключение испытание иустранение неисправностей компонентов подземнойсистемы орошения соответствии указаниями
1143,водоемы,6.0,Ландшафтный дизайн (Юниоры),водоемы
1144,специалист должен знать и понимать различные виды прудов водных объектов и фонтанов используемых в ландшафтном дизайне; принципы установки и обслуживания водных объектов; технологии установки бассейнов и гидромассажных ванн; зеленые насаждения для прудов и водных объектов; необходимость регулярной чистки и обслуживания водных объектов специалист должен уметь установить мягкие материалы облицовки пленка пвх бутилкаучуковая для прудов и готовые пруды; засадить пруды и озера водными растениями; обустроить все виды водоемов; установить бассейны и гидромассажные ванны; установить и проверить все связанные насосы водопроводные системы системы очистки и электрику,6.0,Ландшафтный дизайн (Юниоры),специалист различные виды прудов водных объектов фонтанов используемых ландшафтном дизайне; принципы установки обслуживания водных объектов; технологии установки бассейнов гидромассажных ванн; зеленые насаждения прудов водных объектов; необходимость регулярной чистки обслуживания водных объектов специалист установить мягкие материалы облицовки пленка пвх бутилкаучуковая прудов готовые пруды; засадить пруды озера водными растениями; обустроить виды водоемов; установить бассейны гидромассажные ванны; установить проверить связанные насосы водопроводные системы системы очистки электрику
1145,обеспечить постоянный уход и обслуживание для водных объектов и прудов,6.0,Ландшафтный дизайн (Юниоры),обеспечить постоянный уход обслуживание водных объектов прудов
1146,компьютерные игры стали неотъемлемой частью повседневного быта двух миллиардов человек в играх наблюдается разнообразие жанрови стилистических решений игры с трёхмерными реалистичными моделями —одно из наиболее заметных направлений гейм-индустрии мощностикомпьютеров и игровых приставок достаточно для детализированнойпроработки моделей текстур анимации с анимацией тесно связано индустриякинопроизводства и создания мультфильмов третье направление в котороммоделлеры принимают активное участие — создание виртуальной реальностивсе указанные области применения активно развиваются и вносят всё большийвклад в экономику развитых стран чтобы стать профессионалом в этойиндустрии нужно уметь выполнять следующие задачи— прототипирование и создание дизайн-концепта— трёхмерное моделирование объектов— создание uv-развёртки— текстурирование модели— риггинг и анимация— работа с игровым движком,6.0,3D моделирование для компьютерных игр,компьютерные игры стали неотъемлемой частью повседневного быта миллиардов играх наблюдается разнообразие жанрови стилистических решений игры трёхмерными реалистичными моделями —одно заметных направлений гейм-индустрии мощностикомпьютеров игровых приставок достаточно детализированнойпроработки моделей текстур анимации анимацией тесно связано индустриякинопроизводства создания мультфильмов третье направление котороммоделлеры принимают активное участие — создание виртуальной реальностивсе указанные области применения активно развиваются вносят большийвклад экономику развитых стран профессионалом этойиндустрии выполнять следующие задачи— прототипирование создание дизайн-концепта— трёхмерное моделирование объектов— создание uv-развёртки— текстурирование модели— риггинг анимация— игровым движком
1147,организация работы,5,3D моделирование для компьютерных игр,организация работы
1148,участнику необходимо знать и понимать - правила и требования безопасности на рабочих площадках- специфическую терминологию для своего сектора и роли- как спланировать и правильно распорядиться временем изаданиями- регулярно сохранять резервные копии работ во избежаниепотери файла- организация и структурирование файлов дляинтерпретации в команде а также для оптимальногоиспользования при передаче с компьютера на компьютер,5,3D моделирование для компьютерных игр,участнику необходимо - правила требования безопасности рабочих площадках- специфическую терминологию сектора роли- спланировать правильно распорядиться временем изаданиями- регулярно сохранять резервные копии работ избежаниепотери файла- организация структурирование файлов дляинтерпретации команде оптимальногоиспользования передаче компьютера компьютер
1149,интерпретация дизайн-брифа,6,3D моделирование для компьютерных игр,интерпретация дизайн-брифа
1150,участнику необходимо знать и понимать - ситуацию на рынке d компьютерных игр- стили моделирования и как работать в определенномзаданном стиле- спецификации и ограничения платформ а такжепредоставляемые ими возможности для ограниченияполигонажа и текстурных размеров- план предстоящей работы для определения наиболееважных аспектов задания на которые нужно потратитьвремя а какие могут использоваться повторно,6,3D моделирование для компьютерных игр,участнику необходимо - ситуацию рынке d компьютерных игр- стили моделирования определенномзаданном стиле- спецификации ограничения платформ такжепредоставляемые возможности ограниченияполигонажа текстурных размеров- план предстоящей работы определения наиболееважных аспектов задания потратитьвремя какие использоваться повторно
1151,концепт-арт,12,3D моделирование для компьютерных игр,концепт-арт
1152,участнику необходимо знать и понимать участнику необходимо знать и понимать- силуэты предметов и персонажей чтобы изобразитьформу настроение массу и движениеc  союз ворлдскиллс россия d моделирование длякомпьютерных игр - градации серого для привлечения внимания зрителя кважным частям объекта- теорию цвета для выбора основного и вспомогательныхоттенков смешивания цвета и баланса,12,3D моделирование для компьютерных игр,участнику необходимо участнику необходимо понимать- силуэты предметов персонажей изобразитьформу настроение массу движениеc союз ворлдскиллс d моделирование длякомпьютерных игр - градации серого привлечения внимания зрителя кважным частям объекта- теорию цвета выбора основного вспомогательныхоттенков смешивания цвета баланса
1153,d моделирование,28,3D моделирование для компьютерных игр,d моделирование
1154,участнику необходимо знать и понимать - принципы геометрии для построения d модели- принципы создания симметричных моделей и дальнейшееприменение к ним материала- количество полигонов пропорциональное деталям иконцентрация на d объекте- обтекаемая кромка которая равномерно распределяетвершины по всей модели для оптимального качестватекстуры а также силуэта,28,3D моделирование для компьютерных игр,участнику необходимо - принципы геометрии построения d модели- принципы создания симметричных моделей дальнейшееприменение материала- количество полигонов пропорциональное деталям иконцентрация d объекте- обтекаемая кромка равномерно распределяетвершины всей модели оптимального качестватекстуры силуэта
1155,uv-развёртка,10,3D моделирование для компьютерных игр,uv-развёртка
1156,участнику необходимо знать и понимать зеркальное отображение частей развёртки длямаксимизации текстурного пространства и текстурнойплотности- пропорциональную равнозначность важнейших частейобъекта- расположение частей развёртки в пространстве длямаксимизации использования текстурного пространства атакже во избежание подтёков- группировка частей развёртки по цвету для дальнейшегоизбегания подтёков,10,3D моделирование для компьютерных игр,участнику необходимо зеркальное отображение частей развёртки длямаксимизации текстурного пространства текстурнойплотности- пропорциональную равнозначность важнейших частейобъекта- расположение частей развёртки пространстве длямаксимизации использования текстурного пространства атакже избежание подтёков- группировка частей развёртки цвету дальнейшегоизбегания подтёков
1157,текстурирование,20.0,3D моделирование для компьютерных игр,текстурирование
1158,участнику необходимо знать и понимать участнику необходимо знать и понимать- выбор цвета для демонстрации физически корректныхматериалов в соответствии с их реальными аналогамидерево пластик метал ткань и тд- создание d  для демонстрации базового цветаили материала- создание s  для демонстрации реалистичногоблеска в материалах- создание o  для прозрачных элементов намодели таких как трава волосы ветки тросы и тд- создание n  для детализациинизкополигональной модели- создание a   которые содержатинформацию о расположении теней на объекте,20.0,3D моделирование для компьютерных игр,участнику необходимо участнику необходимо понимать- выбор цвета демонстрации физически корректныхматериалов соответствии реальными аналогамидерево пластик метал ткань тд- создание d демонстрации базового цветаили материала- создание s демонстрации реалистичногоблеска материалах- создание o прозрачных элементов намодели таких трава волосы ветки тросы тд- создание n детализациинизкополигональной модели- создание a содержатинформацию расположении теней объекте
1159,риггинг и анимация,13.0,3D моделирование для компьютерных игр,риггинг анимация
1160,участнику необходимо знать и понимать участнику необходимо знать и понимать- кости создаются для приведения в движение d моделей вигровом движке и могут быть построены цепи иерархиидля динамического воздействия на части d модели- прямая кинематика  это иерархическая структура сверхувниз где предки управляют каждым из потомковинверсная кинематика  это структура снизу-вверхпозволяющая потомку управлять объектами предковпо цепи вверх- скиннинг органических моделей когда на вершины воздействуют несколько костей и скиннинг твердотельныхмоделей- анимация по ключевым кадрам позволяющая аниматоруразмещать и фиксировать точки перемещения вращения имасштабирования по шкале времени и добавлятьдополнительные действия между ключами,13.0,3D моделирование для компьютерных игр,участнику необходимо участнику необходимо понимать- кости создаются приведения движение d моделей вигровом движке построены цепи иерархиидля динамического воздействия части d модели- прямая кинематика иерархическая структура сверхувниз предки управляют каждым потомковинверсная кинематика структура снизу-вверхпозволяющая потомку управлять объектами предковпо цепи вверх- скиннинг органических моделей вершины воздействуют костей скиннинг твердотельныхмоделей- анимация ключевым кадрам позволяющая аниматоруразмещать фиксировать точки перемещения вращения имасштабирования шкале добавлятьдополнительные действия ключами
1161,экспорт в игровой движок,6.0,3D моделирование для компьютерных игр,экспорт игровой движок
1162,участнику необходимо знать и понимать - рендеры созданные с привлечением использованиянастроек материалов света и теней настроеквизуализатора для демонстрации модели в наилучшемракурсе иногда используется постобработка изображенияв сторонней программе- экспорт файлов должен осуществляться правильно и внадлежащем формате для импорта в движок- импорт в движок требует собственный подходоснованный на выборе используемого движка ивозможно потребует дополнительных настроек в самомдвижке- тестирование объекта в движке должно охватывать всевиды анимации и деформации а также проверкупримененных текстур и освещения,6.0,3D моделирование для компьютерных игр,участнику необходимо - рендеры созданные привлечением использованиянастроек материалов света теней настроеквизуализатора демонстрации модели наилучшемракурсе используется постобработка изображенияв сторонней программе- экспорт файлов осуществляться правильно внадлежащем формате импорта движок- импорт движок требует собственный подходоснованный выборе используемого движка ивозможно потребует дополнительных настроек самомдвижке- тестирование объекта движке охватывать всевиды анимации деформации проверкупримененных текстур освещения
1163,по данным всемирной организации туризма европа является мировым лидером по числу гостей  млн чел глобализация социальные и демографические изменения а также эволюция в сфере транспорта являются решающими факторами для быстрого роста индустрии туризма и командировок путешествие и туризм играют важную роль в социальном и экономическом росте в европе неотъемлемой частью в этой отрасли являются гостиницы разных типов и размеров обеспечивающие проживание а также связанные с ним услуги для гостей со всего мира отели могут быть частью международных гостиничных сетей которые продают свои услуги для частых или постоянных гостей в качестве альтернативы они могут отличаться по характеристикам в зависимости от местности истории архитектуры и целевой аудитории качество и цена обычно сопоставимы при бронировании отеля гость опирается на международную систему звезд которая отображает соответствие цены и местоположенияключевой ролью при создании любого отеля является роль портье находясь в зоне отдела приема и размещения гостей гость отеля получает первое впечатление о гостинице а также свой первый опыт пребывания в гостинице в этом месте устанавливается первоначальный контакт с персоналом отеля качество этикет и быстрота обслуживания могут сильно повлиять на то какое отношение сложиться у гостя к гостинице во время его пребывания положительное или отрицательное в свою очередь это влияет на репутацию отеля и продолжение его работыc  союз ворлдскиллс россия администрирование отеля администратор отеля в основном работает на фронт-офисе самого же отеля администратору отеля необходимо постоянно применять широкий диапазон навыков в этот диапазон входит знание местной и общей туристической информации хороший разговорный и письменный уровень английского языка знание компьютерных программ хорошие манеры и поведение а также наличие отличных коммуникативных и социальных навыков умение разрешать проблемы компетентность в работе с цифрами и денежными средствами навык обработки и применения процедур бронирования приема и выписки гостей из отеля если администратор обладает этими навыками и использует их в верном направлении то границы продвижения и мобильность являются широкими это по-настоящему международная профессия в открытом потоке сектора обслуживания,6.0,Администрирование отеля,данным всемирной организации туризма европа является мировым лидером числу гостей млн чел глобализация социальные демографические изменения эволюция сфере транспорта являются решающими факторами быстрого роста индустрии туризма командировок путешествие туризм играют важную роль социальном экономическом росте европе неотъемлемой частью отрасли являются гостиницы разных типов размеров обеспечивающие проживание связанные услуги гостей отели частью международных гостиничных сетей продают услуги частых постоянных гостей качестве альтернативы отличаться характеристикам зависимости местности истории архитектуры целевой аудитории качество цена сопоставимы бронировании отеля гость опирается международную систему звезд отображает соответствие цены местоположенияключевой ролью создании любого отеля является роль портье находясь зоне отдела приема размещения гостей гость отеля получает первое впечатление гостинице опыт пребывания гостинице месте устанавливается первоначальный контакт персоналом отеля качество этикет быстрота обслуживания сильно повлиять какое отношение сложиться гостя гостинице пребывания положительное отрицательное очередь влияет репутацию отеля продолжение работыc союз ворлдскиллс администрирование отеля администратор отеля основном работает фронт-офисе отеля администратору отеля необходимо постоянно применять широкий диапазон навыков диапазон входит знание местной общей туристической информации разговорный письменный уровень английского языка знание компьютерных программ хорошие манеры поведение наличие отличных коммуникативных социальных навыков умение разрешать проблемы компетентность работе цифрами денежными средствами навык обработки применения процедур бронирования приема выписки гостей отеля администратор обладает навыками использует верном направлении границы продвижения мобильность являются широкими по-настоящему международная профессия открытом потоке сектора обслуживания
1164,организация работы и самоуправление,10,Администрирование отеля,организация работы самоуправление
1165,специалист должен знать и понимать  основные и дополнительные услуги предлагаемые в отеле и особенности их предоставления; нормативные документы регламентирующие деятельность отеля на территории региона правила проживания в отеле; техника безопасности и охраны труда; документы регламентирующие работу с гостями с ограниченными возможностями организационную структуру отеля алгоритмы взаимодействия служб; документооборот кассовые операции миграционная политика корреспонденция служебные документы утвержденные формы строгой отчетности; технологический цикл обслуживания гостей; особенности сегментирования и способы взаимодействия с целевой аудиторией; правила деловой коммуникации вербальная/невербальная письменная в тч телефонные переговоры,10,Администрирование отеля,специалист  основные дополнительные услуги предлагаемые отеле особенности предоставления; нормативные документы регламентирующие деятельность отеля территории региона правила проживания отеле; техника безопасности охраны труда; документы регламентирующие работу гостями ограниченными возможностями организационную структуру отеля алгоритмы взаимодействия служб; документооборот кассовые операции миграционная политика корреспонденция служебные документы утвержденные формы строгой отчетности; технологический цикл обслуживания гостей; особенности сегментирования способы взаимодействия целевой аудиторией; правила деловой коммуникации вербальная/невербальная письменная тч телефонные переговоры
